Protein IDs	Only identified by site
Q61543	
Q61545	
Q61550;A2AU37	
Q61578	
Q61584	
Q61595	
Q61598	
Q61599	
Q61624	
Q61644	
Q61655;Q9QY15	
Q61656	
Q61686	
Q61687	
Q61699	
Q61703	
Q61712	
Q61733	
Q61735	
Q61739	
Q61749	
Q61753	
Q61768	
Q61792;Q9DC07	
Q61823;Q9QUQ5;Q9QX29	
Q61838	
Q61879	+
Q61881;REV__Q5EBP3	
Q61937	
Q61990	
Q62000	
Q62018	
Q62048	
Q62077	
Q62084	
Q62086	
Q62093	
Q62095	
Q62137	
Q62167;P16381	
Q62170	
Q62176;D3Z4I3	
Q62186	
Q62187	
Q62189	
Q62191	
Q62193	
Q62203	
Q62241	
Q62261	
Q62280	
Q62311	
Q62318	
Q62348	
Q62351	
Q62376	
Q62383	
Q62384	
Q62388	
Q62393	
Q62418	
Q62419;Q62420;Q62421	
Q62422	
Q62425	
Q62426	
Q62432;Q9JIW5	
Q62433	
Q62445	
Q62446	
Q62448	
Q62504	
Q62513	
Q62523	
Q63810	
Q63829	
Q63844	
Q63850	
Q63932	
Q64010	
Q64012	
Q640M1	
Q640N3	
Q640Q5	
Q64105	
Q64127	
Q64131;Q08775	
Q64152	
Q64213	
Q64261	
Q64282	
Q64287	
Q64310	
Q64311	
Q64321	
Q64324	
Q64337	
Q64339	
Q64345	
Q64374	
Q64378	
Q64433	
Q64442	
Q6ZWY9;Q64478;P10854	+
Q64511	
Q64514	
Q64518	
Q64520	
Q64521	
Q64522	
Q64525	
Q64674	
Q64697	
Q64700	
Q64705;Q61069	
Q64727	
Q64735	
Q64737	
Q65Z40	
Q66JW3	
Q66JX5;P0CAX8	
Q689Z5;Q7TNB8	
Q68FD5;REV__Q6L8S8	
Q68FE8	
Q68FH4	
Q68FL4	
Q68FL6	
Q69Z37	
Q69Z99	
Q69ZA1	
Q69ZC8	
Q69ZK0	
Q69ZQ2	
Q69ZR2	
Q69ZR9	
Q69ZS7	
Q6A009	
Q6A026	
Q6A028	
Q6A068	
Q6A0A2	
Q6A0A9	
Q6A0D4	
Q6A4J8	
Q6DFW4	
Q6DIC0	
Q6DID3	
Q6DID5	
Q6DID7	
Q6DVA0	
Q6GQT1	+
Q6GQT9	
Q6GSS7;Q64523	
Q6GV12	
Q6IRU2	
Q6IRU5	
Q6KAR6	
Q6KAU7	
Q6KCD5	
Q6NS46	
Q6NSQ7	
Q6NSQ9	
Q6NSR8	
Q6NV83	
Q6NVE8	
Q6NVE9	
Q6NVF4	
Q6NVF9	
Q6NXI6	
Q6NXM2	
Q6NZA9	
Q6NZB0	
Q6NZC7	
Q6NZF1	
Q6NZJ6	
Q6NZL8	+
Q6NZN0	
Q6NZQ4	
Q6NZQ6	
Q6P069	
Q6P1B1	
Q6P1F6;Q6ZWR4;Q8BG02	
Q6P1G0	
Q6P1H6	
Q6P1Y8	
Q6P2B1	
Q6P2K6	
Q6P2L6	
Q6P3D0	
Q6P3E7	
Q6P3Y5	
Q6P4S8	
Q6P4T2	
Q6P542	
Q6P5B0	
Q6P5D3	
Q6P5D4	
Q6P5D8	
Q6P5E4	
Q6P5F9	
Q6P5G0	
Q6P5G6	
Q6P8I4	
Q6P8X1	
Q6P9J9	
Q6P9N1	
Q6P9Q4	
Q6P9Q6	
Q6P9R1	
Q6P9R2	
Q6P9R4;P97433	
Q6PAC3	
Q6PAL7	
Q6PAM1	
Q6PAQ4	
Q6PAR5	
Q6PAV2	
Q6PB66	
Q6PB93	
Q6PCM2;Q8BND4	
Q6PCN7	
Q6PCP5	
Q6PCZ4	+
Q6PD03	
Q6PD26	
Q6PDG5	
Q6PDI5	
Q6PDI6	
Q6PDK2	
Q6PDM1	
Q6PDM2	
Q6PDQ2	
Q6PDY2	
Q6PE01	
Q6PEB6	
Q6PF93	
Q6PFD9;Q6NZG4	
Q6PFR5	
Q6PGB6	
Q6PGB8	+
Q6PGC1	
Q6PGF3	
Q6PGF7	
Q6PGG2	
Q6PGG6	
Q6PGH1	
Q6PGL7	
Q6PHN9;Q923S9;Q8CG50;Q504M8	
Q6PHQ8	
Q6PHZ2;P11798	
Q6PIC6	+
Q6PIJ4	
Q6PIP5	
Q6PIU9	
Q6PR54	
Q6Q899	
Q6QI06	
Q6R6I7	
Q6R891	
Q6RI63	+
Q6S5J6	
Q6TEK5	
Q6VN19	
Q6WKZ8	
Q6Y7W8	
Q6ZPE2;REV__A4Q9F6	
Q6ZPL9	
Q6ZPR5	
Q6ZPU9	
Q6ZPV2	
Q6ZPY7	
Q6ZPZ3	
Q6ZQ03	
Q6ZQ08	
Q6ZQ38	
Q6ZQ58	
Q6ZQ73	
Q6ZQ88	
Q6ZQA0	
Q6ZQB6;A2ARP1	
Q6ZQF7	
Q6ZQH8;Q8R4F0	
Q6ZQI3	
Q6ZQK5	
Q6ZQL4	
Q6ZWM4	
Q6ZWN5	
Q6ZWQ0	
Q6ZWU9	
Q6ZWV3;P86048	
Q6ZWV7	
Q6ZWX6	
Q6ZWY3	
Q6ZWY8;CON__P21752	
Q71LX4	+
Q75N62	
Q765H6	+
Q76KJ5	
Q76MZ3	
Q76N33	
Q78HU3	
Q78IK2	
Q78IK4	
Q78JE5	
Q78JW9	
Q78PG9	
Q78PY7	
Q78T81	
Q78WZ7	
Q78XF5	
Q78ZA7	
Q791T5	
Q791V5	
Q7JJ13	
Q7M6Y3	
Q7M760	
Q7TMB8	
Q7TMF3	
Q7TMI3	
Q7TMK9	
Q7TMM9;Q9CWF2	
Q7TMQ7	
Q7TMR0	
Q7TMY4	
Q7TMY7	
Q7TMY8;A6H6E9	
Q7TN05	
Q7TN29	
Q7TN60	
Q7TNC4	
Q7TND5	
Q7TNE3	
Q7TNG5	
Q7TNP2	
Q7TNV0	
Q7TPD0	
Q7TPH6	
Q7TPN9	
Q7TPR4	
Q7TPS5	
Q7TPV4	
Q7TQH0	
Q7TQI3	
Q7TQK1	
Q7TQK4	
Q7TQK5	
Q7TSC1	
Q7TSG1	
Q7TSG2	
Q7TSI3	
Q7TSJ2	
Q7TSQ8	
Q7TSV4	
Q7TT18	
Q7TT37	
Q80SU7	
Q80SW1	
Q80SY5	
Q80T85	
Q80TA1	
Q80TA6	
Q80TE0	
Q80TF6	
Q80TH2;Q80TE7	
Q80TJ7	
Q80TL7	
Q80TM9;REV__O09158	
Q80TP3	
Q80TQ2	
Q80TR8	
Q80TY0	
Q80U16	
Q80U28	
Q80U38	
Q80U58	
Q80U63	
Q80U70	
Q80U72;Q80VQ1	
Q80U78	
Q80U87	
Q80U93	
Q80UG5	
Q80UJ7	
Q80UK8	
Q80UM3	
Q80UM7	
Q80UP3	
Q80UP5;Q6PD24	
Q80US4	
Q80UU2	
Q80UU9	
Q80UV9	
Q80UW8	
Q80UY1	
Q80UY2	
Q80UZ2	
Q80V42	
Q80V86	
Q80VA0	
Q80VD1	
Q80VI1	
Q80VJ3	
Q80VP0	
Q80VP1;Q91W69	
Q80VP2	+
Q80VW7	
Q80W00	
Q80W54	
Q80WB5	
Q80WG5	
Q80WJ7	
Q80WQ2	
Q80WR5	
Q80WT5	
Q80WW9	
Q80X32	
Q80X41	
Q80X50	
Q80X73	
Q80X82	
Q80X85	
Q80X89;Q6PDD0	+
Q80X90	
Q80X95;Q6NTA4	
Q80XC2	
Q80XC6	
Q80XI3	
Q80XI4	
Q80XL7	
Q80XN0	
Q80XP8	
Q80XU3	
Q80Y14	
Q80Y44	
Q80Y81	
Q80YD1	
Q80YQ2	
Q80YQ8;Q91YQ7	
Q80YR4	
Q80YR5	
Q80YV2	
Q80YV3	
Q80YV4	
Q80YW0	
Q80Z60	+
Q80ZQ9	
Q80ZS3	
Q80ZV0	
Q80ZW2	
Q810A3	
Q810A7	
Q810B6	
Q810D6	
Q810V0	
Q811D0	
Q811M1	
Q811S7;Q9ERA0	
Q811U4	
Q8BFP9;Q9JK42	
Q8BFQ4	
Q8BFQ8	
Q8BFR5	
Q8BFR6	
Q8BFV2	
Q8BFW4	
Q8BFY6	
Q8BFY9	
Q8BFZ3	
Q8BFZ9;Q91X78	
Q8BG05	
Q8BG17	
Q8BG30	
Q8BG32	
Q8BG48	
Q8BG51	
Q8BG67	
Q8BG79	
Q8BG81	
Q8BG95	+
Q8BGA5	
Q8BGA7	
Q8BGB5;Q9ERG0	
Q8BGB7	
Q8BGC0	
Q8BGC4	
Q8BGD9;REV__Q8BGD9	
Q8BGE6	
Q8BGG7	
Q8BGH2	
Q8BGH7	
Q8BGQ1	
Q8BGQ7	
Q8BGR9	
Q8BGS0	
Q8BGS2	
Q8BGS7	
Q8BGT7	
Q8BGU5	
Q8BGW0	
Q8BGW1	
Q8BGX1	
Q8BGX2	
Q8BGZ4	
Q8BH04;Q9Z2V4	
Q8BH07	
Q8BH15	
Q8BH24	
Q8BH43;Q8R5H6	
Q8BH57	
Q8BH58	
Q8BH59	
Q8BH69	
Q8BH74	
Q8BH79	
Q8BH86	
Q8BH93	
Q8BH95	
Q8BHA0	
Q8BHB4	
Q8BHC7	
Q8BHD7;Q91Z31	
Q8BHE8	
Q8BHG1	
Q8BHG2	
Q8BHG9	
Q8BHI7	
Q8BHJ5	
Q8BHJ9	
Q8BHL3	
Q8BHL5	
Q8BHL8	
Q8BHN3	
Q8BHN5	
Q8BHS3	
Q8BHY2	
Q8BHZ0	
Q8BHZ4	
Q8BI72	
Q8BI84	
Q8BIF9	
Q8BIG4	
Q8BIG7	
Q8BIH0	
Q8BIJ6	
Q8BIJ7;Q9D394	
Q8BIQ5	
Q8BIW1	
Q8BIX3	
Q8BIY3	
Q8BIZ6	
Q8BJ05	
Q8BJ37	
Q8BJ64	
Q8BJ71	
Q8BJ90	
Q8BJF9	
Q8BJM5	
Q8BJS4	
Q8BJU0	
Q8BJW5	
Q8BJW6	
Q8BJY1	
Q8BJZ4	
Q8BK06	
Q8BK08	
Q8BK58	
Q8BK63	
Q8BK64	
Q8BK67	
Q8BK72	
Q8BKC5;Q8BIV3	
Q8BKC8	
Q8BKE6	
Q8BKF1	+
Q8BKH7	
Q8BKI2	
Q8BKJ9	
Q8BKS9	
Q8BKT7	
Q8BKX6	
Q8BKZ9	
Q8BL48	
Q8BL66	
Q8BL74	
Q8BL97	
Q8BLF1	
Q8BLR5	
Q8BM39	
Q8BM55	
Q8BMA6	
Q8BMB3	
Q8BMC4	
Q8BMD8	
Q8BMF4	
Q8BMG7	
Q8BMJ2	
Q8BMJ3	
Q8BMP6	
Q8BMQ2	
Q8BMS1	
Q8BMS9;Q8CB96	
Q8BMZ5	
Q8BN21	
Q8BND5	
Q8BNI4	
Q8BNU0	
Q8BNV1	
Q8BNW9	
Q8BP27	
Q8BP40	
Q8BP47	
Q8BP48	
Q8BP56	
Q8BP67	
Q8BP92	
Q8BPB5	
Q8BPU7	
Q8BPZ8	
Q8BQ30	
Q8BQ47	
Q8BQM4	
Q8BQR4	
Q8BQZ4	
Q8BQZ5	
Q8BR63	
Q8BR90	
Q8BRF7	
Q8BRG8	
Q8BRN9	
Q8BRT1;Q80TV8	
Q8BSK8	
Q8BSL7	+
Q8BSN5	
Q8BSQ9	
Q8BSU7	
Q8BT60;P59108;Q1RLL3;Q8BLR2;Q0VE82;Q9DC53;Q8JZW4	
Q8BTI8	
Q8BTJ4	
Q8BTM8	
Q8BTS4	
Q8BTT6	
Q8BTU1	
Q8BTV2	
Q8BTW3	
Q8BTX9	
Q8BTY1	
Q8BTY8	
Q8BTZ4	
Q8BTZ7	
Q8BU03	
Q8BU11;Q80W03	
Q8BU14	
Q8BU30	
Q8BU31	
Q8BU33	
Q8BU88	
Q8BUH8	
Q8BUI3	
Q8BUK6	
Q8BUM3	
Q8BUV3	
Q8BUV6	
Q8BV13	
Q8BV49;Q504N7	
Q8BVA2	
Q8BVA5	
Q8BVE3	
Q8BVF2	
Q8BVG4	
Q8BVI4	
Q8BVI5	
Q8BVK9	
Q8BVL3;REV__Q9CY73	
Q8BVL9	
Q8BVQ5	
Q8BVU0	
Q8BVU5	
Q8BVW0	
Q8BVW3	
Q8BW10	
Q8BW70	
Q8BW96;Q91YS8	
Q8BWD8;Q8R3L8	
Q8BWF2	
Q8BWG8	
Q8BWM0	
Q8BWQ6	
Q8BWR2	
Q8BWT1	
Q8BWU5;REV__Q6P5C5	
Q8BWY3	
Q8BWZ3	
Q8BX09	
Q8BX10;Q920Q2	
Q8BX57	
Q8BX70	
Q8BX80	
Q8BXA5	
Q8BXC6	
Q8BXF8	+
Q8BXG3	
Q8BXL7	
Q8BXQ2	
Q8BXQ8	
Q8BXV2	
Q8BXZ1	
Q8BY71	
Q8BY87	
Q8BY89	
Q8BYA0	
Q8BYB9	
Q8BYC6	
Q8BYH7	
Q8BYJ6	
Q8BYK4	
Q8BYK6	
Q8BYL4	
Q8BYM8	
Q8BYP3	
Q8BYW1;Q60636	
Q8BYY4	
Q8BYZ1	
Q8BZ00	
Q8BZ03;Q62101;Q3TZA2;Q8CEQ0;Q8BLF2	
Q8BZ98	
Q8BZH4	
Q8BZN6	
Q8BZQ7	
Q8BZR9	
Q8BZW8	
Q8BZX4	
Q8C050	
Q8C052	
Q8C079	
Q8C092	
Q8C0C0	
Q8C0C7;REV__Q91YE6	
Q8C0D4	
Q8C0D5	
Q8C0E2	
Q8C0G2	
Q8C0I1	
Q8C0J2	
Q8C0L0	
Q8C0L6	
Q8C0M9	
Q8C0P5	
Q8C0S1	
Q8C0X0	
Q8C129	
Q8C142	
Q8C147	
Q8C156	
Q8C163	
Q8C166	
Q8C176	
Q8C1A5	
Q8C1B7;Q8CHH9	
Q8C1D8	
Q8C1E7	
Q8C1Q6	
Q8C1Y8	
Q8C1Z8	
Q8C208;Q8BI67	
Q8C2B3	
Q8C2E7	
Q8C2K1	
Q8C2K5;Q3UHC7	
Q8C2Q3	
Q8C3I8	
Q8C3J5	
Q8C3P7	
Q8C3R1	
Q8C3X2	
Q8C3X4	
Q8C3X8	
Q8C4B4	
Q8C4J7	
Q8C4Q6	
Q8C4Y3	
Q8C503	
Q8C522	
Q8C547	
Q8C552	
Q8C570	
Q8C5H8	
Q8C5L3	
Q8C5L7	
Q8C5N3	
Q8C5P5	
Q8C5P7	
Q8C5Q4	
Q8C5W0	
Q8C5W3	
Q8C5W4;Q69ZX6	
Q8C6B9	
Q8C6G8	
Q8C6U2	
Q8C708	
Q8C754	
Q8C7E9	
Q8C7Q4	
Q8C7R4	
Q8C7U7	
Q8C7V3	
Q8C7X2	
Q8C804	
Q8C854	
Q8C878	
Q8C8T8	
Q8C9B9	
Q8C9V1	
Q8C9X6	
Q8CAA7	
Q8CAK1	
Q8CAK3	
Q8CAQ8	
Q8CAS9	
Q8CAY6	
Q8CB44	
Q8CB65	
Q8CB77	
Q8CBA2	
Q8CBC4	
Q8CBE3	
Q8CBG9	
Q8CBW3;P62484	
Q8CBY3	
Q8CBY8	
Q8CC12	
Q8CC88	
Q8CCB4	
Q8CCF0	
Q8CCI5	
Q8CCJ3	
Q8CCP0	
Q8CCS6;Q5XFR0	
Q8CD10	
Q8CD15	
Q8CDA1	
Q8CDG3	
Q8CDM1	
Q8CDM8;Q80YR2	
Q8CDN6	
Q8CE46	
Q8CE90	
Q8CE96	
Q8CEC0	
Q8CEC6	
Q8CEE0	
Q8CES0	
Q8CF89	
Q8CFB4	
Q8CFE2	
Q8CFE3;Q6PGA0	
Q8CFE4	
Q8CFI0;P46935	
Q8CFI5	
Q8CFI7	
Q8CFJ7	
Q8CFK6	
Q8CFQ3	
Q8CFV9	
Q8CFX1	
Q8CG46	
Q8CG47	
Q8CG48	
Q8CG72	
Q8CG76	
Q8CGA0	
Q8CGC6	
Q8CGC7	
Q8CGE8	+
Q8CGF7;Q3B807	
Q8CGK3	
Q9D2U9;Q8CGP0	
Q8CGP1	
Q8CGP5;Q8CGP6;P22752;Q8CGP7;Q8BFU2	
Q8CGY8	
Q8CGZ0	
Q8CH02	
Q8CH18	
Q8CH25	
Q8CH72	
Q8CHC4	
Q8CHG3	
Q8CHI8	
Q8CHK3	
Q8CHK4	
Q8CHP5	
Q8CHP8	
Q8CHT0	
Q8CHT3	
Q8CHW4	
Q8CHY6	
Q8CI08	
Q8CI11	
Q8CI32	
Q8CI33	
Q8CI51	
Q8CI61	
Q8CI71	
Q8CI75	
Q8CI94;Q9WUB3	
Q8CI95	
Q8CIE2	
Q8CIE6	
Q8CIG3	
Q8CIG8	
Q8CIG9	
Q8CIL4	
Q8CIM8	
Q8CIN4;Q61036	
Q8CIS0	
Q8CIV8	
Q8CJ40	
Q8CJF7	
Q8CJG0	
Q8CJG1;Q8CJF8	
Q8JZL3	
Q8JZM7	
Q8JZN5	
Q8JZN7	
Q8JZQ2;Q8C8R3	
Q8JZQ9	
Q8JZR0	
Q8JZS9	
Q8JZV7	
Q8JZX4	
Q8K003	
Q8K019	
Q8K057	
Q8K0C9	
Q8K0D0;Q04735	
Q8K0D2	
Q8K0D5	
Q8K0E8	
Q8K0G5	
Q8K0H5	
Q8K0Q5	
Q8K0V4	
Q8K0Y2	
Q8K0Y7	
Q8K0Z7	
Q8K114	
Q8K124	
Q8K136	
Q8K157	
Q8K183	
Q8K190	
Q8K194	
Q8K1A5	
Q8K1A6	
Q8K1B8;P59113	
Q8K1C0	
Q8K1E0	
Q8K1I3	
Q8K1I7	
Q8K1J5	
Q8K1J6	
Q8K1L5	
Q8K1M6	
Q8K1R3	
Q8K1R7	
Q8K1Y2	
Q8K1Z0	
Q8K202	
Q8K212	
Q8K221	
Q8K224	
Q8K268	
Q8K273	
Q8K274	
Q8K284	
Q8K285	
Q8K296;Q91XS1	
Q8K2A7	
Q8K2A8	
Q8K2B3	
Q8K2C9	
Q8K2D3	
Q8K2F0	
Q8K2F8	
Q8K2H4	
Q8K2I1	
Q8K2I4	
Q8K2K6	
Q8K2L8	
Q8K2M0	
Q8K2Q0	
Q8K2Q7	
Q8K2R5	
Q8K2T1	
Q8K2T8	
Q8K2V1	
Q8K2X3	
Q8K2Y7	
Q8K2Y9	
Q8K2Z2	
Q8K2Z4	
Q8K301	
Q8K310	
Q8K327	
Q8K337	
Q8K339	
Q8K352	
Q8K358	
Q8K363	
Q8K370	
Q8K394	
Q8K3A0	
Q8K3A9	
Q8K3C3	
Q8K3G5	
Q8K3H0	
Q8K3J1	
Q8K3J5	
Q8K3W0	
Q8K3W3	
Q8K3X4	
Q8K3Z9	
Q8K400	
Q8K409	
Q8K411	
Q8K4B0	
Q8K4F5	
Q8K4F6	
Q8K4G5	
Q8K4I3	
Q8K4L0	
Q8K4L3	
Q8K4M5	
Q8K4P0	
Q8K4Q0	
Q8K4R4	
Q8K4Z3	
Q8K4Z5	
Q8N7N5	
Q8QZS1	
Q8QZT1	
Q8QZV7	
Q8QZY1	
Q8QZY2	
Q8QZY6	
Q8QZY9	
Q8QZZ7	
Q8R001	
Q8R010	
Q8R016	
Q8R035	
Q8R050;Q149F3	
Q8R059	
Q8R081	
Q8R086	
Q8R0A0	
Q8R0F5	
Q8R0F6	
Q8R0G9	
Q8R0H9;Q6P5E6	
Q8R0J7	
Q8R0J8	
Q8R0K4	
Q8R0X7	
Q8R123	
Q8R146	
Q8R164	
Q8R180;Q8R2E9	
Q8R1A4	
Q8R1B4	
Q8R1F0	
Q8R1F9	
Q8R1G6	
Q8R1I1	
Q8R1J9;P0C7W3	
Q8R1K1	
Q8R1N0	
Q8R1N4	
Q8R1Q8	
Q8R1S0	
Q8R1T1	
Q8R2K1	
Q8R2M2	
Q8R2N2	
Q8R2Q4	
Q8R2S9	
Q8R2T8	
Q8R2U0	
Q8R2Y0	
Q8R2Y8	
Q8R307	
Q8R311	
Q8R313	
Q8R317	
Q8R322	
Q8R323	
Q8R326	
Q8R332	
Q8R344	
Q8R3B7	
Q8R3C0	
Q8R3C6	
Q8R3D1	
Q8R3F5	
Q8R3F9	
Q8R3G1	
Q8R3K3	
Q8R3N1	
Q8R3N6	
Q8R3P6	
Q8R3Q0	
Q8R3Q6	
Q8R3S6	
Q8R3U1	
Q8R3V5	
Q8R3Y5	
Q8R3Y8	
Q8R404	
Q8R409	
Q8R480	
Q8R4K2	
Q8R4N0	
Q8R4R6	
Q8R4X3	
Q8R502;Q66JT1	
Q8R526	
Q8R550	
Q8R570	
Q8R574	
Q8R5A3	
Q8R5C5	
Q8R5C8	
Q8R5F3	
Q8R5F7	
Q8R5H1	
Q8R5J9	
Q8R5K4	
Q8R5L3	
Q8VBT0	
Q8VBT9	
Q8VBV3	
Q8VBV7	
Q8VBW6	
Q8VBZ3	
Q8VC03	
Q8VC28	
Q8VC30	
Q8VC31	
Q8VC42	
Q8VC51	
Q8VC65	
Q8VC85	
Q8VCA8	
Q8VCB1	
Q8VCD5	
Q8VCF0	
Q8VCG3	
Q8VCH0	+
Q8VCH8	
Q8VCM7	
Q8VCM8	
Q8VCN9	
Q8VCR7	
Q8VCT3	
Q8VCW8	
Q8VCX5	
Q8VCY6;Q8C7U1	
Q8VD04	
Q8VD31	
Q8VD58	
Q8VD62	
Q8VD65	
Q8VDD5	
Q8VDD8	
Q8VDD9;Q921C3	
Q8VDF2	
Q8VDG3	
Q8VDG5	
Q8VDI1	
Q8VDI7	
Q8VDI9	
Q8VDJ3	
Q8VDK1	
Q8VDL4	
Q8VDM1	
Q8VDM4	
Q8VDM6	
Q8VDN2;Q6PIE5;Q9WV27;Q9Z1W8;Q64436	
Q8VDP2	
Q8VDP3	
Q8VDP4	
Q8VDP6	
Q8VDQ1	
Q8VDQ8	
Q8VDQ9	
Q8VDV8	
Q8VDW0	
Q8VE10	
Q8VE18	
Q8VE19	
Q8VE22	
Q8VE37	
Q8VE38	
Q8VE47	
Q8VE62	
Q8VE70	
Q8VE80	
Q8VE88	
Q8VE95	
Q8VE97	
Q8VE99	
Q8VEA4	
Q8VEB1	+
Q8VEE4	
Q8VEF1	
Q8VEG0	
Q8VEG6	
Q8VEH5	
Q8VEJ4	
Q8VEJ9	
Q8VEK0;Q8BHG3	
Q8VEK3	
Q8VEK6	
Q8VEM8	
Q8VH37	
Q8VH51	
Q8VHE0	
Q8VHK9	
Q8VHN8	
Q8VHR5	
Q8VI36	
Q8VI63	
Q8VI75	
Q8VI84	
Q8VI93	
Q8VII3	+
Q8VIJ6	
Q8VIM9	
Q8WTY4	
Q8WUR0	
Q91UZ5	
Q91V01	
Q91V04	
Q91V08;Q9D676	
Q91V12	
Q91V41	
Q91V61	
Q91V64	
Q91V81	
Q91V92	
Q91VA6	
Q91VC3	
Q91VC9	
Q91VD9	
Q91VE0	
Q91VE6	
Q91VH6	
Q91VI7	
Q91VJ4;Q7TSE6	
Q91VJ5	
Q91VK1	
Q91VL8	
Q91VM3	
Q91VM5	
Q91VM9	
Q91VN6	
Q91VR2	
Q91VR5	
Q91VR8	
Q91VT1	
Q91VT4	
Q91VU0	
Q91VU6	
Q91VV4;Q6P9P8;Q8C4S8	
Q91VW3	
Q91VW5	
Q91VW9	
Q91VX2	
Q91VX9	
Q91VY6	
Q91VY9	
Q91VZ6	
Q91W36	
Q91W39	
Q91W50	
Q91W52	
Q91W86	
Q91W89	
Q91W90	
Q91W96	
Q91WA6	
Q91WC0	
Q91WD5	
Q91WE1	
Q91WE2	
Q91WG2	
Q91WG4	
Q91WG5	
Q91WG8	
Q91WJ8	
Q91WK1	
Q91WK2	
Q91WK5	
Q91WM1	
Q91WM2	
Q91WM3	
Q91WN1	
Q91WQ3	
Q91WQ5	
Q91WR3	
Q91WS0	
Q91WT4	
Q91WU5	
Q91WV0	
Q91X20	
Q91X72	
Q91X83	
Q91X84	
Q91XA2	
Q91XB0	
Q91XB7	
Q91XC9	
Q91XD6	
Q91XI1	
Q91XU0	
Q91XU3	
Q91YD3	
Q91YD9	
Q91YE6	
Q91YE7	
Q91YH5	
Q91YI0	
Q91YI4	
Q91YJ3	
Q91YJ5	
Q91YK2	
Q91YL2	
Q91YL3	
Q91YM4	
Q91YP2	
Q91YP3	
Q91YQ5	
Q91YR1	
Q91YR5	
Q91YR7	
Q91YT0	
Q91YT7	
Q91YU8	
Q91YW3	
Q91Z38	
Q91Z49	
Q91Z53	
Q91Z69	
Q91ZA3	
Q91ZE0	
Q91ZJ5	
Q91ZR1;P56371	
Q91ZR2	
Q91ZW2	
Q91ZW3	
Q920A5	
Q920A7	+
Q920A9	
Q920B9	
Q920E5	
Q920Q4	
Q920Q6;Q61474	
Q921E6	
Q921F2	
Q921F4	
Q921G6	
Q921G7	
Q921G8	
Q921H8	
Q921I0	
Q921I1	
Q921I2	
Q921I9	
Q921J2	
Q921K9;Q9CXE2	
Q921L3	
Q921L5	
Q921M3	
Q921M4	
Q921M7	
Q921N6	
Q921S7	
Q921T2;Q8BYU6	
Q921W0	
Q921W4	
Q921X6	
Q921Y0;Q8BPB0	
Q921Y2	
Q921Z5	
Q922B1	
Q922B2	
Q922D4;REV__Q7TMY8	
Q922D8	
Q922E4	
Q922F4	
Q922H1	
Q922H2	
Q922H4	
Q922J3;Q9Z0H8	
Q922J9	
Q922K7	
Q922L6	
Q922P9	
Q922Q1;Q9CW42	
Q922Q2	
Q922Q4	
Q922Q8	
Q922Q9	
Q922R5	
Q922R8	
Q922S4	
Q922U1	
Q922V4	
Q922Y1	
Q922Y2	
Q923B0	
Q923B1	
Q923D2	
Q923D4	
Q923D5	
Q923E4	
Q923G2	
Q923K4	
Q923T9	
Q924C1	
Q924H2	
Q924H7	
Q924K8	
Q924L1	
Q924M7	
Q924N4;Q9JIS8	
Q924T2	
Q924T7	
Q924W5	
Q924Z4	
Q924Z6	
Q925I1	
Q925J9	
Q925N2	
Q93092	
Q99020	
Q99J09	
Q99J10	
Q99J27	
Q99J36	
Q99J39	
Q99J45	
Q99J47	
Q99J56	
Q99J62	
Q99J72	
Q99J79	
Q99J83	
Q99J87	
Q99J95	
Q99J99	
Q99JB2	
Q99JB6	
Q99JF5	
Q99JF8	
Q99JH1	
Q99JH8;Q9CQM2	
Q99JI4	
Q99JI6	
Q99JR1	
Q99JR8	
Q99JT2	
Q99JT9	
Q99JW2	
Q99JW4;Q91XD2	
Q99JX3	
Q99JX4	
Q99JX7	
Q99JY0	
Q99JY3	
Q99JY4	
Q99JY9;Q641P0	
Q99K23	
Q99K28	
Q99K48	
Q99K51	
Q99K70;Q7TT45	
Q99K74	
Q99K85	
Q99K95	
Q99KB8	
Q99KC8	
Q99KD5	
Q99KE1;Q8BMF3	
Q99KF1;Q8R1V4	
Q99KG3	
Q99KH8	
Q99KI0	
Q99KI3	
Q99KJ8	
Q99KK2	
Q99KK7	
Q99KK9	
Q99KN1	
Q99KN2	
Q99KN9	
Q99KP3	
Q99KP6	
Q99KQ4	
Q99KR3	
Q99KR7	
Q99KS6	
Q99KU0	
Q99KV1	
Q99KW3	
Q99KX1	
Q99KY4;Q80TZ3	
Q99L00	
Q99L04	
Q99L13	
Q99L27;Q9DCZ1	
Q99L28	
Q99L43	
Q99L45	
Q99L47	
Q99L48	
Q99L88	
Q99LB0	
Q99LB2	
Q99LB6	
Q99LC2	
Q99LC3	
Q99LC5	
Q99LC8	
Q99LD4	
Q99LD9	
Q99LE1;Q9JJC6	
Q99LE6	
Q99LF4	
Q99LG2	
Q99LG4	
Q99LH1	
Q99LI2	
Q99LI5	
Q99LI7	
Q99LI8	
Q99LJ1	
Q99LL5	
Q99LM2	
Q99LM9	
Q99LP6	
Q99LR1	
Q99LS3	
Q99LT0	
Q99LU0	
Q99LW6	
Q99LX0	
Q99LX5	
Q99LY9	
Q99M01	
Q99M28	
Q99M31	
Q99M51;O55033	
Q99M87	
Q99MD9	
Q99ME2	
Q99ME9	
Q99MI6	
Q99MJ9	
Q99MK8	
Q99MN1	
Q99MN9	
Q99MP8	
Q99MR6	
Q99MR8	
Q99MS7	
Q99MU3	
