Protein IDs	Only identified by site
O08915	
O08917	
O09000	
O09005	
O09012	
O09044;P60879	
O09046	
O09061	
O09106	
O09110	
O09111	
O09117	
O09126	
O09130	
O09131;Q8K2Q2	
O09159	
O09167	
O09172	
O35075	
O35083	
O35127	
O35129	
O35130	
O35134	
O35143	
O35144	
O35166	
O35215	
O35216	
O35218	
O35226	
O35242	
O35250	
O35286	
O35295;Q8R4E6	
O35309	
O35326	
O35343	
O35344	
O35345	
O35350	
O35368	
O35381	
O35382	
O35405	
O35459	
O35465	
O35473	
O35490	
O35492	
O35493;P22518	
O35551	
O35593	
O35598	
O35601	
O35609	
O35613	
O35638;O70576	
O35643	
O35648	
O35654	
O35658	
O35660;Q80W21;P15626;P10649	
O35671	
O35685	
O35691	
O35704	
O35714	
O35737	
O35841	
O35855	
O35857	
O35864	
O35887	
O35892;Q99388	
O35900	
O35904;Q8BTI9	
O35943	
O35954	
O35955	
O35972	
O35975	
O35984	
O54692	
O54734	
O54774	
O54786	
O54788	
O54824	
O54825	
O54833	
O54864	
O54879	
O54890	
O54910	
O54916	
O54918	
O54941	
O54946;Q9QYI5;Q9QYI8	
O54950	
O54957	
O54962	
O54984	
O54988	
O55013	
O55022	
O55023	
O55029	
O55047;Q8C0P0;Q9R1L5;Q60592	
O55098	
O55101	
O55106	
O55125	
O55126	
O55128	
O55131;Q9DA97;Q8C650	
O55135	
O55137;Q32Q92;Q8BWN8;Q6Q2Z6;Q9QYR7	
O55142	
O55143	
O55187	
O55201	
O55222	
O55229	
O55236	
O55242	
O70133	
O70152	
O70172	
O70194	
O70230;Q8BMU0	
O70251	
O70252	
O70274;Q63739	
O70293;O70291	
O70310	
O70311	+
O70318	
O70325;Q91XR9	
O70333	
O70348	
O70370	
O70378	
O70400	
O70404	
O70422	
O70435	
O70439	
O70456	+
O70469	
O70492	
O70493	
O70494	
O70503	
O70551;Q9Z0G2	
O70591	
O88200	
O88271	
O88286	
O88291	
O88342	
O88351	
O88379	
O88384	
O88393	
O88441	
O88447	
O88455	
O88456	
O88477	+
O88487;O88485	
O88508;O88509	
O88512	
O88520	
O88522	
O88531	
O88532	
O88543	
O88544	
O88545	
O88554	
O88559	
O88569;REV__E9Q5K9	
O88587	
O88622	
O88627	
O88630	
O88643	+
O88653	
O88673;Q6NS52	
O88685	
O88696	
O88708;CON__Q2YDI2	
O88712;P56546	
O88738;REV__Q5NCS9	
O88746	
O88796	
O88811	
O88824	
O88842;Q5DU28	
O88843	
O88844	
O88845	
O88851	
O88874	
O88879	
O88890	
O88895	
O88907;Q8C5D8	
O88939	
O88942;Q8K120	
O88958	
O88967	
O88974	
O88983	
O88986	
O88990	+
O89023	
O89032	
O89053	
O89079	
O89086	
O89090	
O89100	
O89109	
O89110	
O89112	
P00158	
P00329	
P00375	
P00397	
P00405	
P00416	
P00493	
P00848	
P00920	
P01029	
P01101	+
P01590	
P01831	
P01849	
P01852;P01851	
P01868;P01869	
P01872	
P01887	
P01898	
P01899;P01897;P01896	
P01900;P01895	
P01901;P04223;P14428;P03991;P14426	
P01942	
P02088	
P02089	
P84244;P02301	
P03888	
P03893	
P03911	
P03921	
P03930	
P03958	
P03975	
P04235	
P04370	
P04441	
P04627	
P05064;P05063	
P05132	
P05201	
P05202	
P05213	
P05977;P09541	
P06151;P00342	
P06240	
P06320	
P06332	
P06339	+
P06537	
P06684	+
P06745	
P06800	
P07091	
P07141	
P07309	
P07356	
P07607	
P07724	
P07742	
Q00896;Q00897;P07758	
P07759	
P07901	
P07903	
P08003	
P08030	
P08113	
P08207	
P08228	
P08249	
P08414	
P08556	
P08752;B2RSH2;P18872;P50149;P20612;P27600	
P08775	
P08920	
P09055;Q9Z0T9	
P09103	
P09405	
P09411;P09041	
P09528	
P09535	
P09581	
P09602	
P09671	
P09793	
P09925	
P09926	
P0C0A3	
Q3THW5;P0C0S6	
P0C8B4	
P0CG14	
P0CW03;P0CW02	
P10107	
P10126;P62631	
P10404;P11370	
P10417	
P10518	
P10605	
P10630	
P10639	
P10711;Q9QVN7	
P10852	
P10853;Q8CGP2;Q64475	
P10922	
P11031	
P11087;CON__Q862S4	
P11103	
P11276	
P11352	
P11438	
P11440	
P11499	
P11609;P11610	
P11835;O70309	
P11881	
P11911	
P11942	
P11983	
P12265	
P12367	
P12382	
P12388	+
P12658	
P12787	
P12815	
P12970	
P13020	
P13379	
P13439	
P13597	
P13864	
P14069	
P14094	
P14115	
P14131	
P14148	
P14152	
P14206	
P14211	
P14427	+
P14429	
P14430	+
P14431	+
P14434;P14438;P14437;P14436;P14435;P23150;P04228;P01910;P04227	
P14483;P06346;P06345;P06344;P06343;P06342	
P14576	
P14602	
P14685	
P14733	
P14824	
P14869	
P15066	
P15092	+
P15105	
P15307	
P15331	+
P15379	
P15508	+
P15532	
P15533	
P15535;Q9JMK0	
P15702	
P15864	
P16045	
P16125	
P16254	
P16330	
P16332	
P16460	
P16546	
P16627	
P16675	
P16858;Q64467	
P17012;P23607;A2ANX9;P10925	
P17047	
P17095	
P17156	+
P17182	
P17183	
P17225	
P17426	
P17427	
P17710;Q3TRM8	
P17742	
P17751	
P17809	
P17897;P08905	
P17918	
P18052	
P18155	
P18181	
P18242	
P18337	
P18572	
P18653;Q9WUT3	
P18654	
P18760	
P19096	
P19157;P46425	
P19182	
P19253	
P19426	
P19536	
P19639	+
P19783	
P19973	
P20029	
P20060	
P20065	
P20108	
P20152;P46660;P08551	
P20444;P63318	
P20664	
P20918	
P21107	
P21126	
P21447;P06795;P21440	
P21460	
P21550	
P21619	
P21836	
P21958	
P21995;Q9WU65	
P22272	
P22315	
P22366	
P22646	
P22682	
P22892	
P22907	
P23116	
P23198	
P23249	
P23298	
P23475	
P23492	
P23506	
P23591	
P23708	
P23780	
P23906	
P23950;P23949	
P24063	
P24161;P29020	
P24270	
P24369	
P24452;REV__P24452	
P24472;P30115	
P24527	
P24547	
P24668	
P24788	
P25206	
P25425;P31362;Q00196	
P25444	
P25446	
P25799	
P25976	
P26011	
P26039	
P26040	
P26041	
P26043	
P26187	
P26323	
P26350	
P26369	
P26443	
P26450;O08908	
P26516	
P26638	
P26645	
P26883	
P27046	
P27048;P63163	
P27546	
P27577;P15037	
P27601	
P27612	
P27641	
P27659	
P27661	
P27773	
P27782;Q924A0;Q9Z1J1	
P27808	
P27870	
P28063	
P28076	
P28271;Q811J3	
REV__Q6ZPY2;P28301	
P28352	
P28474;Q64437	
P28574	
P28656	
P28658	
P28659	
P28740;Q8C0N1	
P28843	
P28867;P16054	
P29037;Q6SJ95	
P29341	
P29351	
P29352	
P29391;P49945	
P29416	
P29452	
P29594	
P29595	
P29699	
P29758	
P30285	
P30416	
P30681	
P30987	
P31041	
P31230	
P31266;O08674	
P31324	+
P31725	
P31750	
P31786	
P31938	
P32020	
P32037	
P32067	
P32233	
P32261	
P32921	
P33215	
P33609	
P33610	
P33611	
P34022	
P34884	
P34902	
P35123;Q99K46	
P35235	
P35278	
P35279	
P35282	
P35285	
P35293	
P35294	
P35330	
P35486;P35487	
P35505	
P35550;Q80WS3	
P35564	
P35585;Q9WVP1	
P35601	
P35689	
P35700	
P35821	
P35831	
P35922	
P35979	
P35980	
P36371	
P36536	
P36552	
P36916	
P36993	
P37040	
P37913	
